"survyear","state","total_enrollment","sum_american","sum_asian","sum_hisp","sum_black","sum_white"
2004,"ARKANSAS","474532","2812","5816","27800","106410","320277"
2004,"ARKANSAS","474897","2812","5816","27800","106410","320277"
2004,"ARKANSAS","475551","2812","5816","27800","106410","320277"
2004,"ARKANSAS","475671","2812","5816","27800","106410","320277"
2004,"ARKANSAS","476110","2812","5816","27800","106410","320277"
2004,"ARKANSAS","477716","2812","5816","27800","106410","320277"
2004,"ARKANSAS","479177","2812","5816","27800","106410","320277"
2004,"ARKANSAS","479682","2812","5816","27800","106410","320277"
2004,"ARKANSAS","479881","2812","5816","27800","106410","320277"
2004,"ARKANSAS",NULL,"5624","11632","55600","212820","640554"
2004,"BUREAU OF INDIAN EDUCATIO",NULL,"45828","0","0","0","0"
2004,"CALIFORNIA","4120498","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","5129788","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","5299405","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","5460484","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","5595836","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","5727224","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","5839207","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","5941946","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6045030","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6136915","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6202604","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6203034","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6208733","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6213958","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6217031","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6224685","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6226523","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6226552","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6234155","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6258421","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6284502","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6288686","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6295994","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA","6307022","51825","713266","2961233","505389","1981657"
2004,"CALIFORNIA",NULL,"103650","1426532","5922466","1010778","3963314"
2004,"COLORADO","539538","9030","24396","200829","45052","486669"
2004,"COLORADO","549570","9030","24396","200829","45052","486669"
2004,"COLORADO","639805","9030","24396","200829","45052","486669"
2004,"COLORADO","655679","9030","24396","200829","45052","486669"
2004,"COLORADO","672634","9030","24396","200829","45052","486669"
2004,"COLORADO","686360","9030","24396","200829","45052","486669"
2004,"COLORADO","698402","9030","24396","200829","45052","486669"
2004,"COLORADO","707436","9030","24396","200829","45052","486669"
2004,"COLORADO","723696","9030","24396","200829","45052","486669"
2004,"COLORADO","741319","9030","24396","200829","45052","486669"
2004,"COLORADO","751049","9030","24396","200829","45052","486669"
2004,"COLORADO","756319","9030","24396","200829","45052","486669"
2004,"COLORADO","765388","9030","24396","200829","45052","486669"
2004,"COLORADO","778842","9030","24396","200829","45052","486669"
2004,"COLORADO","790211","9030","24396","200829","45052","486669"
2004,"COLORADO","796824","9030","24396","200829","45052","486669"
2004,"COLORADO","812068","9030","24396","200829","45052","486669"
2004,"COLORADO","825242","9030","24396","200829","45052","486669"
2004,"COLORADO","834832","9030","24396","200829","45052","486669"
2004,"COLORADO","843120","9030","24396","200829","45052","486669"
2004,"COLORADO","851063","9030","24396","200829","45052","486669"
2004,"COLORADO","865231","9030","24396","200829","45052","486669"
2004,"COLORADO","872320","9030","24396","200829","45052","486669"
2004,"COLORADO","880678","9030","24396","200829","45052","486669"
2004,"COLORADO",NULL,"18060","48792","401658","90104","973338"
2004,"CONNECTICUT","471918","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","479522","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","489513","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","499494","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","499815","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","505366","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","507838","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","511082","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","515141","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","517812","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","522415","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","522451","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","530132","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","530363","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","534800","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","537521","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","539250","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","543829","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","544417","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","548466","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","549230","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","549744","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","552505","2047","19614","86579","79511","389639"
2004,"CONNECTICUT","552512","2047","19614","86579","79511","389639"
2004,"CONNECTICUT",NULL,"4094","39228","173158","159022","779278"
2004,"DELAWARE","103782","361","3244","10150","38421","66915"
2004,"DELAWARE","104355","361","3244","10150","38421","66915"
2004,"DELAWARE","106813","361","3244","10150","38421","66915"
2004,"DELAWARE","108461","361","3244","10150","38421","66915"
2004,"DELAWARE","110245","361","3244","10150","38421","66915"
2004,"DELAWARE","111282","361","3244","10150","38421","66915"
2004,"DELAWARE","111331","361","3244","10150","38421","66915"
2004,"DELAWARE","111428","361","3244","10150","38421","66915"
2004,"DELAWARE","111520","361","3244","10150","38421","66915"
2004,"DELAWARE","112055","361","3244","10150","38421","66915"
2004,"DELAWARE","112320","361","3244","10150","38421","66915"
